backend,density,batch_size,block_width,latency_per_word_us,throughput_words_per_sec,table_size_bytes,repeats,mean,std,is_fastest
Naive,0.005,1024,8,5.463632805913221,183028.40537118685,0,5,5.463632805913221e-06,1.9567560230440114e-07,False
SparseXor,0.005,1024,8,5.588691408320301,178932.76385080515,0,5,5.588691408320301e-06,3.8787172224172017e-07,False
BlockLUT,0.005,1024,8,46.70138671372115,21412.640402521367,129024,5,4.670138671372115e-05,1.775054942848535e-06,False
PackedBlockLUT,0.005,1024,8,0.4306249934415973,2322206.131158114,16128,5,4.306249934415973e-07,1.7359418375458657e-08,True
PackedBatch,0.005,1024,8,5.5082226481317775,181546.7645156228,0,5,5.508222648131777e-06,1.2085208731870313e-07,False
Naive,0.01,1024,8,5.450078128887981,183483.60818894117,0,5,5.450078128887981e-06,1.463700811533306e-07,False
SparseXor,0.01,1024,8,6.56207031397571,152390.93032426498,0,5,6.5620703139757096e-06,4.680556652783293e-07,False
BlockLUT,0.01,1024,8,45.828339841591514,21820.559144332125,129024,5,4.5828339841591516e-05,2.0302955957900557e-06,False
PackedBlockLUT,0.01,1024,8,0.490839840949775,2037324.4316618638,16128,5,4.90839840949775e-07,1.0554430859211828e-08,True
PackedBatch,0.01,1024,8,5.656640621509723,176783.37142321514,0,5,5.656640621509723e-06,1.1432312163867706e-07,False
Naive,0.02,1024,8,5.686914050784253,175842.2918071173,0,5,5.686914050784253e-06,2.100327773636197e-07,False
SparseXor,0.02,1024,8,6.408398428447981,156045.2289546836,0,5,6.4083984284479815e-06,9.457311890655362e-07,False
BlockLUT,0.02,1024,8,48.136894531580765,20774.08627479985,129024,5,4.813689453158077e-05,1.5721101115323006e-07,False
PackedBlockLUT,0.02,1024,8,0.6050976708138478,1652625.7631350888,16128,5,6.050976708138478e-07,8.766572262882936e-08,True
PackedBatch,0.02,1024,8,5.691757803560904,175692.64795040563,0,5,5.691757803560904e-06,3.092814228555604e-07,False
Naive,0.05,1024,8,5.581035168233939,179178.2294603314,0,5,5.581035168233939e-06,2.628270093025621e-07,False
SparseXor,0.05,1024,8,6.528749997869454,153168.67705553636,0,5,6.528749997869454e-06,3.3565176591295796e-07,False
BlockLUT,0.05,1024,8,47.62453124840249,20997.581997902475,129024,5,4.762453124840249e-05,1.5412353683260814e-06,False
PackedBlockLUT,0.05,1024,8,0.4867187499257853,2054574.6391575828,16128,5,4.867187499257853e-07,3.870054215763252e-09,True
PackedBatch,0.05,1024,8,5.507109369773389,181583.46472809362,0,5,5.507109369773388e-06,1.4875548862425336e-07,False
Naive,0.1,1024,8,5.62638671226523,177733.9616240832,0,5,5.62638671226523e-06,1.542491207862285e-07,False
SparseXor,0.1,1024,8,7.283613274466916,137294.49413597395,0,5,7.283613274466916e-06,4.5829413922147057e-07,False
BlockLUT,0.1,1024,8,43.50222656057667,22987.32913377443,129024,5,4.350222656057667e-05,1.8322084121487445e-07,False
PackedBlockLUT,0.1,1024,8,0.44462890400609467,2249066.560878131,16128,5,4.446289040060947e-07,1.0364465110506182e-08,True
PackedBatch,0.1,1024,8,5.37003905947131,186218.38480602257,0,5,5.37003905947131e-06,9.45980220203211e-08,False
Naive,0.5,1024,8,5.5941601544873265,178757.84253295916,0,5,5.594160154487327e-06,2.8465363979372214e-07,False
SparseXor,0.5,1024,8,10.053730466097477,99465.56687312572,0,5,1.0053730466097478e-05,2.2397741167936503e-07,False
BlockLUT,0.5,1024,8,47.30541016897405,21139.231145613547,129024,5,4.730541016897405e-05,1.8631045604778147e-06,False
PackedBlockLUT,0.5,1024,8,0.5330273324943846,1876076.4017866475,16128,5,5.330273324943846e-07,8.750550201652206e-09,True
PackedBatch,0.5,1024,8,5.6173242114709865,178020.70209120688,0,5,5.617324211470986e-06,4.373429613303516e-08,False
