snr_db,h,batch_blocks,max_blocks,window_blocks,total_blocks,emitted_blocks,measurement_blocks,warmup_blocks_total,discard_blocks_total,dropped_measurement_blocks,flush_blocks,total_bits,input_total_bits,pre_fec_errors,post_fec_errors,pre_fec_ber,post_fec_ber,elapsed_sec,avg_sec_per_input_block_3552bits,measurement_bits_per_sec,input_bits_per_sec,codec_init_sec,tx_gen_sec,channel_sec,decode_sec,flush_sec,batch_elapsed_sec,target_post_ber,min_post_errors,codec_mode,stop_reason,backend,block_width,external_backend_init_sec,common_table_init_sec,point_wall_sec
13.5,16,16,500000,161,23184,19320,19320,2898,966,0,960,79134720,94961664,1019057,748351,0.012877495491233178,0.009456670851934523,100.0886011000257,0.004317141179262668,790646.6783456691,948776.0140148029,22.239422400132753,15.215255801100284,38.88585200277157,509.5500883979257,0.033003099844790995,585.9291059969692,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,2.3983079999452457,100.09173450001981
13.55,16,16,500000,161,23184,19320,19320,2898,966,0,960,79134720,94961664,988281,664632,0.012488589079483695,0.008398740780279502,100.70385950000491,0.00434367923999331,785816.1583171114,942979.3899805336,23.190888100187294,15.502082700142637,39.413462600903586,510.3199500007322,0.03374019986949861,588.4657520008041,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,0.0,100.70608279993758
13.6,16,16,500000,161,23184,19320,19320,2898,966,0,960,79134720,94961664,959702,583598,0.01212744544998706,0.0073747401898938926,103.43683729995973,0.004461561305208753,765053.5540884215,918064.2649061058,23.189529199968092,15.41305539815221,39.69067290064413,528.7173166000284,0.04258570016827434,607.0588795995573,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,0.0,103.43965680000838
13.65,16,16,500000,161,23184,19320,19320,2898,966,0,960,79134720,94961664,930617,489459,0.011759907661264234,0.006185135930221273,107.49085239996202,0.0046364239302951185,736199.5763653276,883439.4916383931,23.99350829969626,15.826349999872036,40.4920981999021,550.9412926986115,0.02516540023498237,631.2842734007863,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,0.0,107.49309369991533
13.7,16,16,500000,161,23184,19320,19320,2898,966,0,960,79134720,94961664,901899,379039,0.011397007533482143,0.004789793910940735,94.80160490004346,0.004089096139580894,834740.2987896434,1001688.3585475722,20.719613599823788,14.311206401791424,36.636587698361836,485.369230500306,0.031850900035351515,557.073701703106,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,0.0,94.80290729994886
13.75,16,16,500000,161,23184,19320,19320,2898,966,0,960,79134720,94961664,873022,231439,0.011032098173848344,0.0029246201919966358,89.79686060000677,0.0038732255262252744,881263.7710409448,1057516.5252491338,20.874498599907383,13.98123080143705,35.21168339904398,455.2776130021084,0.030241600004956126,525.3801562970039,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,2.346764800022356,89.79898970003705
13.8,16,16,500000,161,23184,19320,19320,2898,966,0,960,79134720,94961664,845794,56183,0.01068802669675207,0.0007099664976384576,94.41296830005012,0.004072333001209892,838176.3800551749,1005811.65606621,22.950976900057867,14.492269199574366,36.07173399988096,478.40049870032817,0.028549900045618415,551.9491337003419,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,0.0,94.41441319999285
13.85,16,16,500000,161,23184,19320,19320,2898,966,0,960,79134720,94961664,818849,1399,0.01034753139961827,1.767871295936853e-05,95.29633749998175,0.004110435537438826,830406.7299544975,996488.075945397,23.994732999941334,14.470859898603521,37.02888020151295,481.42344589938875,0.023368499940261245,556.9464223992545,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,0.0,95.29773909994401
13.9,16,16,500000,161,208656,173880,173880,26082,8694,0,8640,712212480,854654976,7130673,291,0.010012002317061336,4.085859321083506e-07,810.9419185000006,0.0038865017948201855,878253.3788823982,1053904.054658878,22.79309259960428,131.25809870520607,329.52274789859075,4343.795279407408,0.24129150004591793,4827.655791003839,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,0.0,810.9433557000011
13.95,16,16,500000,161,510048,425040,425040,63756,21252,0,21120,1740963840,2089156608,16868896,9,0.00968940055641822,5.169550218802936e-09,1996.620985400048,0.00391457467806961,871955.0944974046,1046346.1133968855,23.638109199819155,323.3041217094287,813.2523971111514,10728.223804089357,0.6150001003406942,11889.146227008314,1e-09,200,batched,max_blocks_reached,syndrome_lut,,0.0,0.0,1996.6225093000103
