index,profile,task,backend,batch_size,throughput_median_Mbit_s,throughput_min_Mbit_s,throughput_max_Mbit_s,throughput_std_Mbit_s,round_count,throughput_cv
0,bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,1,21.88815492632504,9.843882332965205,33.71968829933678,6.5588957692891645,9,0.29965503220194833
1,bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,10,38.437612192566085,28.631090800164987,48.37202179740062,6.9335767995587965,9,0.18038521136075578
2,bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,100,44.95861775605295,29.09516893114214,68.63863654129905,12.186724344491285,9,0.2710653697277101
3,bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,1000,45.65163467740593,32.69773746805451,68.43306843767851,10.021089226627653,9,0.21951216637566162
4,bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,10000,43.59106477389681,33.73114999754505,64.89693226008713,9.389462123002726,9,0.21539877889436923
5,bch_255_239_r16,parity,PackedBatchGF2Kernel.apply_many,100000,44.81281932945617,27.08347958002709,67.34449251992964,11.624711723672549,9,0.25940594449569576
6,bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,1,5.523761221822446,2.1490125399835125,8.792681296575983,1.7673539865666728,9,0.3199548125984295
7,bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,10,60.15036274331207,37.667444312631474,78.22333241491378,13.15209346529804,9,0.21865360183152643
8,bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,100,387.3581586923749,130.50310745420416,575.97271324415,117.66312793966645,9,0.30375796998020643
9,bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,1000,631.3435666614027,426.69746749708776,910.145473994971,139.12961169993866,9,0.22037068095215986
10,bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,10000,303.8277229465977,162.5517803333593,416.8455079119666,73.03035365630632,9,0.24036764304468194
11,bch_255_239_r16,parity,PackedBlockLUTKernel.apply_many_packed,100000,271.9030989517804,153.8783826343769,389.19992949277696,72.31440096579105,9,0.26595651629044276
12,bch_255_239_r16,parity,galois_per_codeword,1,3.603524437746407,1.4309957674165197,6.00885228535084,1.245045197878648,9,0.3455076327045202
13,bch_255_239_r16,parity,galois_per_codeword,10,3.911820306756365,3.0109501230797298,4.919490997957791,0.6846712350030133,9,0.17502624898706928
14,bch_255_239_r16,parity,galois_per_codeword,100,4.0851209567001465,2.8352013709419683,5.476717388922178,0.7910502119971319,9,0.1936418089896955
15,bch_255_239_r16,parity,galois_per_codeword,1000,4.136794625466513,3.668082388696648,5.7408189370326665,0.8311992606015243,5,0.20092833603210083
16,bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,1,23.38728527119292,11.13127111554499,34.31145009123292,6.2944526922781545,9,0.269139945884668
17,bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,10,38.28161752146638,24.61919311047061,54.80475904737869,8.401355241750753,9,0.21946186670507592
18,bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,100,49.78035902169338,28.57505223885998,73.16139728752927,13.101924277158709,9,0.26319465216088794
19,bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,1000,43.5611710191719,28.551874327120345,64.29246635330725,11.093039514443232,9,0.25465430003158146
20,bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,10000,43.76006282511749,32.51291329029227,64.644643289054,10.059309863902055,9,0.22987420982696105
21,bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,100000,44.84449249821228,34.65783393226461,65.51664791677585,9.511581872424074,9,0.21210144975558037
22,bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,1,5.875578578927744,1.8892968465775468,9.287263884220264,2.165886858999888,9,0.36862529024250557
23,bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,10,61.78898543894689,25.97784260834992,85.5913476723073,16.049865332659543,9,0.2597528543095802
24,bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,100,369.2976002023148,144.5990964654678,516.1039982381666,117.05489740795932,9,0.31696630940421044
25,bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,1000,589.7316850389631,231.2010865818581,891.4182639113175,190.02664675445442,9,0.32222560119336224
26,bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,10000,302.452121457284,167.71191225741444,445.9772427328228,84.78750793790842,9,0.2803336525774151
27,bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,100000,271.3923706661846,213.2343296951276,402.7966965259404,58.107567490031805,9,0.21410906779507338
28,bch_255_239_r16,syndrome,galois_per_codeword,1,4.8780829637346255,2.047728455217643,7.018221926216946,1.3731540050180182,9,0.28149459843682967
29,bch_255_239_r16,syndrome,galois_per_codeword,10,7.038366679573142,3.327428984087931,10.211146860759914,1.9512296710007613,9,0.27722762394060124
30,bch_255_239_r16,syndrome,galois_per_codeword,100,7.661338860717762,3.529068503361075,10.242474710706585,2.181839492928349,9,0.28478566639512154
31,bch_255_239_r16,syndrome,galois_per_codeword,1000,7.140759946100877,4.656657655829712,9.835792211437932,1.8389116146742122,5,0.25752323681995876
