backend,total_bits,component_n,output_r,num_words,chunk_words,iterations,density,block_width,total_runtime_s,throughput_Mbit_s,latency_per_word_us,table_size_bytes,repeats,mean,std
Naive.apply_many,1000000,255,16,3921,4096,1,0.05,8,0.022046300019913662,45.35250808965067,5.622621785236843,0,3,0.022046300019913662,0.00020288438942505277
PackedBatch.apply_many,1000000,255,16,3921,4096,1,0.05,8,0.021965866656197857,45.518577329516944,5.602108303034393,0,3,0.021965866656197857,0.00022662191485212476
PackedBlockLUT.apply_many_packed,1000000,255,16,3921,4096,1,0.05,8,0.0021503333506795266,464.97674404019074,0.548414524529336,16128,3,0.0021503333506795266,0.00036358730134370396
Naive.apply_many,1000000,255,16,3921,4096,5,0.05,8,0.10970476665534079,45.57026237252033,5.595754483822534,0,3,0.10970476665534079,0.0006855964432158294
PackedBatch.apply_many,1000000,255,16,3921,4096,5,0.05,8,0.10818159999325871,46.21187891759345,5.518061718605392,0,3,0.10818159999325871,0.000371745600410726
PackedBlockLUT.apply_many_packed,1000000,255,16,3921,4096,5,0.05,8,0.009484766652652373,527.0846593365558,0.48379324930642054,16128,3,0.009484766652652373,0.0001035644772049355
Naive.apply_many,1000000,255,16,3921,4096,10,0.05,8,0.21692229999462143,46.09277146816124,5.532320836384122,0,3,0.21692229999462143,0.0012363209670120919
PackedBatch.apply_many,1000000,255,16,3921,4096,10,0.05,8,0.2205885666771792,45.32669190707603,5.625824194776311,0,3,0.2205885666771792,0.0042382230142751125
PackedBlockLUT.apply_many_packed,1000000,255,16,3921,4096,10,0.05,8,0.020287299994379282,492.84774232008,0.5174011730267606,16128,3,0.020287299994379282,0.0008614435824636195
Naive.apply_many,10000000,255,16,39215,4096,1,0.05,8,0.21985966665670276,45.48276249146737,5.606519613839163,0,3,0.21985966665670276,0.001196505979322324
PackedBatch.apply_many,10000000,255,16,39215,4096,1,0.05,8,0.218626133321474,45.73938553492129,5.5750639633169445,0,3,0.218626133321474,0.0003997731221405252
PackedBlockLUT.apply_many_packed,10000000,255,16,39215,4096,1,0.05,8,0.01785093332485606,560.1849952616208,0.45520676590223286,16128,3,0.01785093332485606,0.00029621412147014177
Naive.apply_many,10000000,255,16,39215,4096,5,0.05,8,1.0937798000134837,45.71224025108493,5.578374601624295,0,3,1.0937798000134837,0.009914786753519712
PackedBatch.apply_many,10000000,255,16,39215,4096,5,0.05,8,1.0972504333476536,45.56765117645503,5.596075141388008,0,3,1.0972504333476536,0.006590120863954404
PackedBlockLUT.apply_many_packed,10000000,255,16,39215,4096,5,0.05,8,0.08740543335443363,572.036806879624,0.4457755111790571,16128,3,0.08740543335443363,0.0010998300937007097
Naive.apply_many,10000000,255,16,39215,4096,10,0.05,8,2.2044563333232268,45.36186473208668,5.6214620255596754,0,3,2.2044563333232268,0.0037343835937634533
PackedBatch.apply_many,10000000,255,16,39215,4096,10,0.05,8,2.1956734333264953,45.54331645234709,5.599065238624239,0,3,2.1956734333264953,0.0018177966743466807
PackedBlockLUT.apply_many_packed,10000000,255,16,39215,4096,10,0.05,8,0.17739316667818153,563.7097069325798,0.4523604913379613,16128,3,0.17739316667818153,0.0012637087926959478
