test_case,code_profile,syndrome_backend,num_words,double_error_coverage,num_possible_double_errors,exact_mismatch_count,correctness_all_true,mean_latency_per_word_us,source_csv
all_double_bit_errors,bch_255_239_r16,HybridPlanner.apply_many_packed,32385,full,32385,0,True,4.12877743205,results/summary/component_decoder_exactness_summary.csv
all_double_bit_errors,bch_255_239_r16,NaiveGF2Kernel.apply_many,32385,full,32385,0,True,9.21363947116,results/summary/component_decoder_exactness_summary.csv
all_double_bit_errors,bch_255_239_r16,PackedBatchGF2Kernel.apply_many,32385,full,32385,0,True,9.09879529734,results/summary/component_decoder_exactness_summary.csv
all_double_bit_errors,bch_255_239_r16,PackedBlockLUTKernel.apply_many_packed,32385,full,32385,0,True,4.21424292546,results/summary/component_decoder_exactness_summary.csv
all_single_bit_errors,bch_255_239_r16,HybridPlanner.apply_many_packed,255,,0,0,True,3.53260503831,results/summary/component_decoder_exactness_summary.csv
all_single_bit_errors,bch_255_239_r16,NaiveGF2Kernel.apply_many,255,,0,0,True,8.03910364744,results/summary/component_decoder_exactness_summary.csv
all_single_bit_errors,bch_255_239_r16,PackedBatchGF2Kernel.apply_many,255,,0,0,True,8.27109241592,results/summary/component_decoder_exactness_summary.csv
all_single_bit_errors,bch_255_239_r16,PackedBlockLUTKernel.apply_many_packed,255,,0,0,True,3.43652659276,results/summary/component_decoder_exactness_summary.csv
all_zero,bch_255_239_r16,HybridPlanner.apply_many_packed,1,,0,0,True,101.114282318,results/summary/component_decoder_exactness_summary.csv
all_zero,bch_255_239_r16,NaiveGF2Kernel.apply_many,1,,0,0,True,45.3428531598,results/summary/component_decoder_exactness_summary.csv
all_zero,bch_255_239_r16,PackedBatchGF2Kernel.apply_many,1,,0,0,True,37.4714311744,results/summary/component_decoder_exactness_summary.csv
all_zero,bch_255_239_r16,PackedBlockLUTKernel.apply_many_packed,1,,0,0,True,97.8571396055,results/summary/component_decoder_exactness_summary.csv
random_error_batch,bch_255_239_r16,HybridPlanner.apply_many_packed,4096,,0,0,True,3.36050502727,results/summary/component_decoder_exactness_summary.csv
random_error_batch,bch_255_239_r16,NaiveGF2Kernel.apply_many,4096,,0,0,True,8.30174734696,results/summary/component_decoder_exactness_summary.csv
random_error_batch,bch_255_239_r16,PackedBatchGF2Kernel.apply_many,4096,,0,0,True,8.53237653433,results/summary/component_decoder_exactness_summary.csv
random_error_batch,bch_255_239_r16,PackedBlockLUTKernel.apply_many_packed,4096,,0,0,True,3.25604073583,results/summary/component_decoder_exactness_summary.csv
random_received_batch,bch_255_239_r16,HybridPlanner.apply_many_packed,4096,,0,0,True,3.81456473316,results/summary/component_decoder_exactness_summary.csv
random_received_batch,bch_255_239_r16,NaiveGF2Kernel.apply_many,4096,,0,0,True,8.56319056806,results/summary/component_decoder_exactness_summary.csv
random_received_batch,bch_255_239_r16,PackedBatchGF2Kernel.apply_many,4096,,0,0,True,8.28292061783,results/summary/component_decoder_exactness_summary.csv
random_received_batch,bch_255_239_r16,PackedBlockLUTKernel.apply_many_packed,4096,,0,0,True,3.10907854636,results/summary/component_decoder_exactness_summary.csv
sampled_triple_bit_errors,bch_255_239_r16,HybridPlanner.apply_many_packed,4096,,0,0,True,3.10859723486,results/summary/component_decoder_exactness_summary.csv
sampled_triple_bit_errors,bch_255_239_r16,NaiveGF2Kernel.apply_many,4096,,0,0,True,8.16788504413,results/summary/component_decoder_exactness_summary.csv
sampled_triple_bit_errors,bch_255_239_r16,PackedBatchGF2Kernel.apply_many,4096,,0,0,True,8.30228096861,results/summary/component_decoder_exactness_summary.csv
sampled_triple_bit_errors,bch_255_239_r16,PackedBlockLUTKernel.apply_many_packed,4096,,0,0,True,2.9990304122,results/summary/component_decoder_exactness_summary.csv
